track_name,artist_names,mood,valence,energy,danceability,tempo
Do They Know It's Christmas? - 1984 Version,Band Aid,calm,0.349,0.642,0.599,115.412
Cozy Little Christmas,Katy Perry,calm,0.56,0.608,0.774,137.494
Switch,"Iggy Azalea, Anitta",calm,0.346,0.624,0.914,109.977
Heat Waves,Glass Animals,calm,0.531,0.525,0.761,80.87
Woah,Lil Baby,calm,0.413,0.599,0.883,142.976
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",happy,0.719,0.616,0.586,148.088
Dancing On My Own,Calum Scott,sad,0.193,0.174,0.608,112.175
All Around The World (La La La),"R3HAB, A Touch Of Class",energetic,0.52,0.859,0.733,124.948
Si Te La Encuentras Por Ahí,Feid,calm,0.455,0.576,0.743,171.945
Lemonade (feat. NAV),"Internet Money, Gunna, Don Toliver, NAV",calm,0.471,0.66,0.799,140.04
Cool With You,NewJeans,calm,0.532,0.65,0.752,134.993
ENERGY (feat. Beam),"Beyoncé, BEAM",calm,0.587,0.519,0.903,114.991
100k Cash,"Capital Bra, Samra",happy,0.604,0.714,0.701,86.91
Skin,Sabrina Carpenter,sad,0.328,0.457,0.557,105.918
"Nicky Jam: Bzrp Music Sessions, Vol. 41","Bizarrap, Nicky Jam",happy,0.818,0.849,0.627,89.907
Oh Na Na,"Camila Cabello, Myke Towers, Tainy",happy,0.688,0.862,0.744,115.021
Orphans,Coldplay,energetic,0.282,0.808,0.503,107.973
bad vibes forever (feat. PnB Rock & Trippie Redd),"XXXTENTACION, PnB Rock, Trippie Redd",calm,0.746,0.526,0.8,129.874
Everything I Love,Morgan Wallen,happy,0.668,0.841,0.568,103.983
Groupie Love (feat. A$AP Rocky),"Lana Del Rey, A$AP Rocky",calm,0.195,0.6,0.359,175.894
IDOL,"BTS, Nicki Minaj",energetic,0.446,0.857,0.709,126.038
Treat People With Kindness,Harry Styles,happy,0.697,0.869,0.653,122.017
Drew A Picasso,Drake,sad,0.143,0.334,0.707,127.944
When You're Ready,Shawn Mendes,calm,0.603,0.473,0.49,171.535
Say Yes To Heaven,Lana Del Rey,sad,0.179,0.359,0.497,99.922
Just You and I,Tom Walker,calm,0.544,0.696,0.567,92.061
Petrouchka (feat. PLK),"Soso Maness, PLK",happy,0.818,0.802,0.624,133.888
Your Power,Billie Eilish,sad,0.208,0.284,0.632,129.642
Not Going Home (feat. Gia Koka),"DVBBS, CMC$, Gia Koka",energetic,0.502,0.733,0.713,108.992
I Dare You,The xx,calm,0.282,0.543,0.752,126.001
Out Of The Woods (Taylor's Version),Taylor Swift,energetic,0.192,0.885,0.547,91.992
River,Miley Cyrus,energetic,0.461,0.803,0.613,127.989
Lighthouse - Andrelli Remix,"Hearts & Colors, Andrelli",calm,0.417,0.662,0.595,96.053
BURN,"¥$, Kanye West, Ty Dolla $ign",happy,0.736,0.885,0.6,105.003
In the Name of Love,"Martin Garrix, Bebe Rexha",sad,0.196,0.485,0.49,133.889
No Stylist (feat. Drake),"French Montana, Drake",energetic,0.498,0.704,0.765,147.055
Enchanted,Taylor Swift,calm,0.228,0.618,0.535,81.975
GOD'S COUNTRY,Travis Scott,calm,0.138,0.65,0.624,150.048
I'm a Mess,Bebe Rexha,calm,0.216,0.694,0.63,97.005
Puntos Suspensivos,Piso 21,happy,0.952,0.731,0.823,152.024
Cupido,TINI,calm,0.627,0.584,0.913,119.873
Bored,Billie Eilish,sad,0.112,0.318,0.614,119.959
Todo Mundo Menos Você,"Marília Mendonça, Maiara & Maraisa",calm,0.434,0.641,0.778,131.914
Te Vi,"Piso 21, Micro TDH",happy,0.706,0.777,0.877,102.02
Framed,Eminem,happy,0.762,0.821,0.744,145.982
Call You Mine,"The Chainsmokers, Bebe Rexha",energetic,0.501,0.702,0.591,104.003
Begin Again (Taylor's Version),Taylor Swift,calm,0.267,0.527,0.519,78.915
Free Smoke,Drake,sad,0.203,0.491,0.736,141.979
BELLAKEO,"Peso Pluma, Anitta",energetic,0.463,0.88,0.72,180.011
INTRO,DaBaby,happy,0.672,0.685,0.862,100.024
Thank God It's Christmas - Non-Album Single,Queen,sad,0.335,0.421,0.296,83.425
Party (feat. Usher & Gucci Mane),"Chris Brown, USHER, Gucci Mane",calm,0.316,0.576,0.762,142.096
Loca (feat. Cali y El Dandee),"Maite Perroni, Cali Y El Dandee",happy,0.639,0.839,0.751,95.019
Demons (feat. Fivio Foreign & Sosa Geek),"Drake, Fivio Foreign, Sosa Geek",happy,0.729,0.766,0.543,106.869
AM Remix,"Nio Garcia, J Balvin, Bad Bunny",happy,0.785,0.655,0.743,172.031
Orlando,XXXTENTACION,sad,0.28,0.0279,0.57,84.902
1999,"Charli XCX, Troye Sivan",happy,0.659,0.742,0.739,124.016
Saint-Tropez,Post Malone,calm,0.295,0.684,0.617,132.113
Famous (feat. Reginae Carter),"Lil Wayne, Reginae Carter",calm,0.115,0.568,0.623,149.852
Paradinha,Anitta,happy,0.869,0.775,0.695,180.054
Envy Me,Calboy,calm,0.581,0.481,0.556,149.025
La Intención,"Christian Nodal, Peso Pluma",happy,0.838,0.738,0.794,131.857
United In Grief,Kendrick Lamar,energetic,0.331,0.845,0.529,85.63
LUST.,Kendrick Lamar,calm,0.566,0.562,0.678,94.241
Vertigo,Khalid,sad,0.207,0.458,0.487,115.989
No Cap,"Future, Young Thug",calm,0.379,0.523,0.8,147.057
True Love,"Kanye West, XXXTENTACION",energetic,0.388,0.861,0.712,84.042
Closer to You (feat. Major Lazer),"Jung Kook, Major Lazer",calm,0.493,0.655,0.781,113.031
Last Christmas - Single Version,Wham!,calm,0.935,0.598,0.733,107.732
Hasta Que Dios Diga,"Anuel AA, Bad Bunny",happy,0.855,0.765,0.691,174.021
B.I.T.C.H.,Megan Thee Stallion,energetic,0.547,0.731,0.742,174.019
Liar,Camila Cabello,calm,0.652,0.498,0.74,98.016
Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",calm,0.664,0.544,0.823,149.903
Lie,NF,calm,0.179,0.661,0.513,94.791
High Fashion (feat. Mustard),"Roddy Ricch, Mustard",calm,0.511,0.499,0.831,97.956
Meet Me At Our Spot,"THE ANXIETY, WILLOW, Tyler Cole",sad,0.399,0.47,0.773,94.995
Good as Hell (feat. Ariana Grande) - Remix,"Lizzo, Ariana Grande",energetic,0.478,0.892,0.668,95.927
Lalala,"Y2K, bbno$",calm,0.496,0.391,0.843,129.972
Own It (feat. Ed Sheeran & Burna Boy),"Stormzy, Burna Boy, Ed Sheeran",energetic,0.359,0.781,0.817,104.0
I'll Be There,Jess Glynne,energetic,0.4,0.851,0.623,100.063
Why'd You Only Call Me When You're High?,Arctic Monkeys,happy,0.8,0.631,0.691,92.004
Blaues Licht,"RAF Camora, Bonez MC",happy,0.703,0.835,0.819,144.955
MAFIA,Travis Scott,sad,0.385,0.492,0.855,109.975
i n t e r l u d e,J. Cole,calm,0.104,0.574,0.77,98.962
No Love (with SZA),"Summer Walker, SZA",calm,0.517,0.618,0.707,133.876
Now and Later,Sage The Gemini,calm,0.858,0.57,0.781,107.059
Fountains (with Tems),"Drake, Tems",calm,0.689,0.485,0.843,100.053
Que Le De,"Rauw Alejandro, Nicky Jam",happy,0.609,0.75,0.77,99.997
FRIENDS,"Marshmello, Anne-Marie",energetic,0.534,0.88,0.626,95.079
epiphany,Taylor Swift,sad,0.113,0.267,0.354,94.219
Sick Boy,The Chainsmokers,calm,0.462,0.58,0.548,180.066
Higher Power,Coldplay,energetic,0.489,0.828,0.507,178.032
Tesla (feat. Sfera Ebbasta & DrefGold),"Capo Plaza, Sfera Ebbasta, DrefGold",calm,0.377,0.626,0.854,140.05
Thank You (Not So Bad),"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",energetic,0.563,0.95,0.673,150.019
Nice Guy (with Jessie Reyez),"Eminem, Jessie Reyez",calm,0.563,0.639,0.65,139.226
Over Now,Post Malone,energetic,0.181,0.777,0.569,164.027
The Middle,"Zedd, Maren Morris, Grey",calm,0.437,0.657,0.753,107.01
Angel,Fifth Harmony,calm,0.13,0.525,0.738,124.008
"fuck, i'm lonely","Lauv, Anne-Marie",calm,0.717,0.547,0.809,95.012
TRELLAS,Bad Bunny,sad,0.0508,0.412,0.43,90.872
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),"Amaarae, Kali Uchis, Moliy",calm,0.319,0.523,0.87,110.02
Call Out My Name,The Weeknd,calm,0.175,0.593,0.461,134.17
Oye,"TINI, Sebastian Yatra",calm,0.255,0.51,0.683,95.08
Outta My Head (with John Mayer),"Khalid, John Mayer",calm,0.514,0.545,0.729,103.012
Say Something (feat. Chris Stapleton),"Justin Timberlake, Chris Stapleton",calm,0.372,0.632,0.707,97.04
Cry Your Heart Out,Adele,energetic,0.59,0.713,0.756,125.064
Labyrinth,Taylor Swift,sad,0.122,0.306,0.406,110.014
Body,Megan Thee Stallion,energetic,0.469,0.732,0.914,94.066
Fantasias - Remix,"Rauw Alejandro, Anuel AA, NATTI NATASHA, Farruko, Lunay",happy,0.78,0.72,0.816,94.004
Moonlight,Gaullin,energetic,0.29,0.761,0.813,124.957
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",sad,0.0472,0.298,0.775,120.091
I'M DAT N****,Future,calm,0.145,0.573,0.911,144.026
Ain't My Fault,Zara Larsson,energetic,0.355,0.782,0.576,141.153
Na Raba Toma Tapão,"Niack, Markim WF",happy,0.968,0.787,0.962,130.003
The Return,Logic,happy,0.65,0.956,0.8,90.025
Daisy,Ashnikko,happy,0.774,0.663,0.834,121.876
Slime You Out (feat. SZA),"Drake, SZA",sad,0.105,0.408,0.483,88.88
evermore (feat. Bon Iver),"Taylor Swift, Bon Iver",sad,0.314,0.27,0.395,120.94
i Shyne,"Carnage, Lil Pump",energetic,0.383,0.732,0.776,144.076
Love Scars 3,Trippie Redd,calm,0.117,0.524,0.544,81.982
I Can Show You,Lil Uzi Vert,calm,0.314,0.656,0.817,139.915
10 Freaky Girls (with 21 Savage),"Metro Boomin, 21 Savage",sad,0.0727,0.353,0.81,88.031
Screw The World - Interlude,Drake,happy,0.629,0.642,0.823,146.781
Boo'd Up,Ella Mai,energetic,0.235,0.779,0.561,81.965
Remember The Name (feat. Eminem & 50 Cent),"Ed Sheeran, Eminem, 50 Cent",happy,0.726,0.666,0.852,91.046
BROWN SKIN GIRL,"Blue Ivy, SAINt JHN, Beyoncé, Wizkid",calm,0.595,0.602,0.603,119.703
Younger Now,Miley Cyrus,energetic,0.297,0.869,0.551,121.91
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Metro Boomin, Future, Lil Uzi Vert",calm,0.28,0.549,0.774,135.016
When I Was Your Man,Bruno Mars,calm,0.411,0.271,0.601,145.494
Setting Fires,"The Chainsmokers, XYLØ",energetic,0.56,0.717,0.626,105.039
S91,KAROL G,energetic,0.381,0.711,0.644,128.225
Astronaut In The Ocean,Masked Wolf,calm,0.472,0.695,0.778,149.996
Tacones Rojos,Sebastian Yatra,happy,0.927,0.856,0.748,123.031
LUMBERJACK,"Tyler, The Creator",energetic,0.433,0.762,0.386,170.691
Just Us (feat. SZA),"DJ Khaled, SZA",energetic,0.566,0.859,0.639,93.132
"Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]","La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA",happy,0.739,0.745,0.672,173.974
Roadrunner,Bonez MC,calm,0.25,0.607,0.795,99.012
Want To,Dua Lipa,calm,0.318,0.691,0.572,92.082
Let It Fly (feat. Travis Scott),"Lil Wayne, Travis Scott",happy,0.745,0.819,0.902,89.0
CHORRITO PA LAS ANIMAS,Feid,happy,0.609,0.831,0.743,95.975
1950,King Princess,calm,0.269,0.535,0.6,71.912
Believer,Imagine Dragons,happy,0.708,0.787,0.779,124.982
She Bad,"Cardi B, YG",calm,0.355,0.504,0.791,159.949
Think Before I Talk,Astrid S,calm,0.537,0.597,0.775,122.069
Glorious (feat. Skylar Grey),"Macklemore, Skylar Grey",energetic,0.356,0.794,0.731,139.994
Kill Bill (feat. Doja Cat),"SZA, Doja Cat",energetic,0.451,0.744,0.629,89.021
Naked,Doja Cat,energetic,0.536,0.862,0.733,111.076
"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar",happy,0.649,0.795,0.773,115.997
Karaoke,"Boomdabash, Alessandra Amoroso",calm,0.578,0.625,0.929,122.03
Yuck,Logic,happy,0.71,0.798,0.619,156.151
Baila Conmigo (with Rauw Alejandro),"Selena Gomez, Rauw Alejandro",calm,0.683,0.545,0.824,149.912
Pray,Sam Smith,sad,0.153,0.379,0.381,175.067
Madonna,"Bausa, Apache 207",calm,0.311,0.565,0.806,116.963
Just A Cloud Away,Pharrell Williams,calm,0.677,0.46,0.89,112.555
I Am,Jorja Smith,calm,0.32,0.583,0.601,148.785
Girl At Home (Taylor's Version),Taylor Swift,happy,0.612,0.736,0.691,125.089
TQG,"KAROL G, Shakira",happy,0.607,0.63,0.72,179.974
Ransom (with Juice WRLD) - Remix,"Lil Tecca, Juice WRLD",calm,0.385,0.665,0.493,179.982
Only Human,Jonas Brothers,calm,0.874,0.496,0.795,94.01
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",calm,0.273,0.574,0.669,120.013
Nervous,Shawn Mendes,happy,0.738,0.622,0.841,121.988
"Trava na Pose, Chama no Zoom, Da um Close (feat. Mc Rennan)","DJ Patrick Muniz, Dj Olliver, Mc Topre, Mc Rennan",happy,0.769,0.701,0.863,129.911
Love In The Dark,Adele,sad,0.152,0.341,0.331,109.821
Otro Atardecer,"Bad Bunny, The Marías",calm,0.546,0.595,0.777,108.02
Afterglow,Ed Sheeran,sad,0.273,0.324,0.641,110.184
APESHIT,The Carters,energetic,0.377,0.784,0.705,160.035
In My Mind,"Dynoro, Gigi D'Agostino",energetic,0.163,0.77,0.694,125.905
Ya Salame,"Luciano, Samra",energetic,0.408,0.817,0.714,174.1
Deu Onda,MC G15,happy,0.864,0.604,0.931,129.926
I'm Fine,BTS,energetic,0.302,0.842,0.51,87.605
Bella y Sensual,"Romeo Santos, Daddy Yankee, Nicky Jam",happy,0.749,0.713,0.635,179.864
UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny, Tainy",calm,0.393,0.693,0.571,168.169
POLARIS - Remix,"SAIKO, Quevedo, Feid, Mora",energetic,0.552,0.799,0.623,169.901
999 (with Camilo),"Selena Gomez, Camilo",happy,0.788,0.748,0.781,149.819
KANGA (feat. Kanye West),"6ix9ine, Kanye West",calm,0.355,0.598,0.901,117.9
Old Town Road,Lil Nas X,calm,0.507,0.53,0.907,135.998
Watch This - ARIZONATEARS Pluggnb Remix,"Lil Uzi Vert, sped up nightcore, ARIZONATEARS",energetic,0.355,0.897,0.686,129.975
A Sky Full of Stars,Coldplay,calm,0.162,0.675,0.545,124.97
I Don't Do Drugs (feat. Ariana Grande),"Doja Cat, Ariana Grande",calm,0.45,0.615,0.683,77.014
ZEZE (feat. Travis Scott & Offset),"Kodak Black, Offset, Travis Scott",calm,0.504,0.603,0.861,98.043
GOLDWING,Billie Eilish,sad,0.168,0.303,0.654,160.095
DEMBOW BÉLICO,"Tito Double P, Joel De La P, Luis R Conriquez",calm,0.196,0.551,0.881,119.951
BYE ME FUI,Bad Bunny,calm,0.588,0.599,0.712,179.788
VIRGO'S GROOVE,Beyoncé,energetic,0.598,0.85,0.683,107.988
t h e . c l i m b . b a c k,J. Cole,calm,0.287,0.569,0.61,81.409
Forever,Noah Kahan,sad,0.235,0.254,0.395,94.78
New Patek,Lil Uzi Vert,happy,0.718,0.785,0.85,145.063
1AM FREESTYLE,Joji,calm,0.124,0.541,0.615,126.049
Aquelas Coisas,João Gomes,happy,0.964,0.873,0.682,150.006
She Knows (feat. Amber Coffman & Cults),"J. Cole, Cults, Amber Coffman",energetic,0.183,0.74,0.766,118.008
September Song,JP Cooper,calm,0.401,0.654,0.623,95.921
Moves,Big Sean,calm,0.38,0.522,0.812,75.524
Numb,21 Savage,calm,0.464,0.436,0.839,82.009
Volando - Remix,"Mora, Bad Bunny, Sech",happy,0.632,0.688,0.659,153.979
Emoji A Chain,Migos,calm,0.407,0.324,0.894,139.972
l e t . g o . m y . h a n d (with Bas & 6LACK),"J. Cole, Bas, 6LACK",calm,0.516,0.625,0.583,89.812
UNA NOCHE EN MEDELLÍN - REMIX,"KAROL G, Cris Mj, Ryan Castro",happy,0.883,0.755,0.846,96.002
Fear and Friday's,Zach Bryan,calm,0.155,0.636,0.523,128.785
"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)","Eminem, Royce Da 5'9"", White Gold",energetic,0.243,0.82,0.68,140.033
Tightrope,Michelle Williams,sad,0.191,0.331,0.351,161.564
Dancing Queen,ABBA,happy,0.754,0.87,0.543,100.804
Never Enough,Loren Allred,sad,0.227,0.394,0.277,86.777
INSUPERABILE,Rkomi,happy,0.84,0.848,0.667,122.035
Pull Up N Wreck (& Metro Boomin),"Big Sean, Metro Boomin, 21 Savage",sad,0.107,0.442,0.507,173.03
What Lovers Do (feat. SZA),"Maroon 5, SZA",calm,0.419,0.597,0.799,110.001
Hawái - Remix,"Maluma, The Weeknd",happy,0.609,0.788,0.766,179.984
Sex with My Ex,Lil Peep,energetic,0.47,0.77,0.497,167.892
Daechwita,Agust D,energetic,0.223,0.827,0.65,144.995
De Una Vez,Selena Gomez,sad,0.0398,0.452,0.666,163.694
exes,Tate McRae,calm,0.551,0.569,0.838,136.965
Hundred,Khalid,calm,0.479,0.483,0.772,120.005
Faith - Remastered,George Michael,calm,0.607,0.48,0.887,95.846
Spotless (feat. The Lumineers),"Zach Bryan, The Lumineers",sad,0.169,0.444,0.604,72.129
Freaks,Surf Curse,energetic,0.403,0.944,0.346,179.63
Nice For What,Drake,happy,0.757,0.909,0.7,93.469
Shinunoga E-Wa,Fujii Kaze,energetic,0.519,0.76,0.6,158.075
Bad Reputation (feat. Joe Janiak),"Avicii, Joe Janiak",calm,0.446,0.637,0.745,89.995
Bones,Imagine Dragons,energetic,0.571,0.742,0.773,114.071
Stay,"Zedd, Alessia Cara",calm,0.543,0.622,0.69,102.039
TOMBOY,(G)I-DLE,happy,0.645,0.87,0.755,124.032
Bebe Dame,"Fuerza Regida, Grupo Frontera",happy,0.756,0.602,0.529,157.643
Baby It's Cold Outside (with Michael Bublé),"Idina Menzel, Michael Bublé",calm,0.558,0.476,0.553,113.401
Thing for You (with Martin Solveig),"David Guetta, Martin Solveig",happy,0.769,0.723,0.774,121.057
WANDA,Quevedo,happy,0.957,0.631,0.724,176.076
Bean (Kobe) [feat. Chief Keef],"Lil Uzi Vert, Chief Keef",calm,0.319,0.567,0.733,75.491
KESI - Remix,"Camilo, Shawn Mendes",happy,0.823,0.815,0.871,122.959
Take Me To Church,Hozier,calm,0.437,0.664,0.566,128.945
she's all i wanna be,Tate McRae,happy,0.651,0.644,0.614,160.036
Chulo pt.2,"Bad Gyal, Tokischa, Young Miko",energetic,0.556,0.881,0.852,96.984
Despeinada,"Ozuna, Camilo",happy,0.72,0.775,0.734,166.039
Moonlight,XXXTENTACION,calm,0.711,0.537,0.921,128.009
Sure Thing,Miguel,calm,0.498,0.607,0.684,81.001
RERUN (feat. Travis Scott),"Quavo, Travis Scott",energetic,0.529,0.791,0.684,153.992
Robarte un Beso,"Carlos Vives, Sebastian Yatra",happy,0.652,0.859,0.742,95.046
Ela me Falou Que Quer Rave,"MC Levin, DJ Nikolas Alves Exclusive, DJ Kaioken, DJ Gege",happy,0.932,0.641,0.832,133.041
La vie qu'on mène,Ninho,energetic,0.456,0.756,0.8,113.204
Alone,Alan Walker,energetic,0.157,0.929,0.676,97.019
Mahiye Jinna Sohna,Darshan Raval,calm,0.331,0.54,0.567,92.027
Still Be Friends (feat. Tory Lanez & Tyga),"G-Eazy, Tory Lanez, Tyga",energetic,0.284,0.759,0.803,104.0
the 1,Taylor Swift,sad,0.172,0.357,0.777,139.883
Moonlight,Kali Uchis,happy,0.896,0.706,0.642,136.851
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",calm,0.0957,0.547,0.772,130.099
Bad Energy,Juice WRLD,calm,0.532,0.452,0.654,138.034
Hotel,Montell Fish,sad,0.192,0.427,0.228,180.345
Internet,Post Malone,sad,0.201,0.489,0.469,74.013
Djomb - Bien ou quoi,Bosh,happy,0.631,0.676,0.945,123.109
The Rumbling (TV Size),SiM,happy,0.646,0.875,0.408,144.975
That's What I Like,Bruno Mars,calm,0.86,0.56,0.853,134.066
Bezos I,Bo Burnham,happy,0.705,0.948,0.694,115.044
China,"Anuel AA, Daddy Yankee, KAROL G, Ozuna, J Balvin",happy,0.608,0.808,0.786,105.029
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B",happy,0.617,0.801,0.842,95.881
Light It Up (feat. Nyla & Fuse ODG) [Remix],"Major Lazer, Nyla, Fuse ODG",happy,0.751,0.877,0.746,107.985
Cocoon,Milky Chance,happy,0.804,0.659,0.743,114.033
Typa Girl,BLACKPINK,calm,0.527,0.621,0.915,131.984
Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),"Lil Yachty, DaBaby, Drake",happy,0.884,0.625,0.83,138.046
El Clavo,Prince Royce,happy,0.658,0.78,0.827,80.015
Whatever,"Kygo, Ava Max",energetic,0.596,0.776,0.576,107.943
MALA (feat. Anuel AA),"6ix9ine, Anuel AA",happy,0.789,0.825,0.719,100.006
Permission to Dance,BTS,happy,0.646,0.741,0.702,124.925
Cardigan,Don Toliver,sad,0.0663,0.497,0.747,142.046
the boy is mine,Ariana Grande,calm,0.443,0.623,0.796,98.003
Dua Lipa,Jack Harlow,calm,0.405,0.652,0.833,158.022
MALDITA POBREZA,Bad Bunny,energetic,0.588,0.861,0.762,133.037
"City Of Stars - From ""La La Land"" Soundtrack","Ryan Gosling, Emma Stone",calm,0.419,0.121,0.483,106.032
Homicide,"Logic, Eminem",happy,0.796,0.764,0.722,139.831
Quiero Repetir,"Ozuna, J Balvin",energetic,0.482,0.753,0.608,97.626
M' Manc (con Geolier & Sfera Ebbasta),"Shablo, Geolier, Sfera Ebbasta",happy,0.725,0.704,0.703,139.933
"jealousy, jealousy",Olivia Rodrigo,calm,0.699,0.575,0.695,163.929
Kiss My (Uh Oh),"Anne-Marie, Little Mix",energetic,0.481,0.878,0.638,103.948
Borrowed Love (feat. Swae Lee & WizKid),"Metro Boomin, Swae Lee, Wizkid",calm,0.393,0.594,0.52,129.216
Sugar Wraith,Post Malone,energetic,0.307,0.775,0.606,164.02
Amen (feat. Teezo Touchdown),"Drake, Teezo Touchdown",calm,0.309,0.605,0.646,90.156
Beach House,The Chainsmokers,energetic,0.533,0.837,0.537,90.083
Love Lost,"Mac Miller, The Temper Trap",energetic,0.584,0.812,0.735,109.835
Malvadão 3,"Xamã, Gustah, Neo Beats, Bagua Records",calm,0.516,0.609,0.821,133.133
Freaky,Tory Lanez,calm,0.363,0.563,0.966,104.991
Marisola - Remix,"Cris Mj, Duki, Nicki Nicole, Standly, Stars Music Chile",happy,0.722,0.872,0.765,94.999
The Moment I Knew (Taylor's Version),Taylor Swift,sad,0.208,0.402,0.636,125.952
Bitch Better Have My Money,Rihanna,energetic,0.395,0.728,0.781,102.99
Unholy (feat. Kim Petras),"Sam Smith, Kim Petras",sad,0.206,0.463,0.712,131.199
Now Or Never,Halsey,calm,0.458,0.575,0.663,110.04
Mama,"Jonas Blue, William Singe",energetic,0.547,0.792,0.739,104.016
La ragazza con il cuore di latta,Irama,calm,0.305,0.687,0.612,99.939
Better Than Revenge (Taylor's Version),Taylor Swift,happy,0.665,0.885,0.496,145.863
EL AMOR DE SU VIDA,"Grupo Frontera, Grupo Firme",happy,0.746,0.834,0.616,151.701
I Like You (A Happier Song) (with Doja Cat),"Post Malone, Doja Cat",calm,0.472,0.67,0.733,100.964
DELRESTO (ECHOES) (feat. Beyoncé),"Travis Scott, Beyoncé",calm,0.509,0.609,0.674,116.066
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","mgk, X Ambassadors, Bebe Rexha",energetic,0.216,0.718,0.653,82.034
Remind Me,Eminem,happy,0.767,0.867,0.764,93.969
"Royalty (feat. Ky-Mani Marley, Stefflon Don & Vybz Kartel)","XXXTENTACION, Ky-Mani Marley, Stefflon Don, Vybz Kartel",calm,0.597,0.538,0.919,124.952
ULTRA SOLO,"Polimá Westcoast, Pailita",energetic,0.26,0.846,0.802,109.982
Don't Get Too High,Bryson Tiller,calm,0.469,0.495,0.88,124.024
Marry Me,Thomas Rhett,calm,0.474,0.412,0.333,85.028
The Take (feat. Chris Brown),"Tory Lanez, Chris Brown",calm,0.423,0.547,0.464,67.003
